,Bank Name ,City ,State ,Cert ,Acquiring Institution ,Closing Date ,Fund
314,Westernbank Puerto Rico,Mayaguez,PR,31027,Banco Popular de Puerto Rico,30-Apr-10,10231
315,R-G Premier Bank of Puerto Rico,Hato Rey,PR,32185,Scotiabank de Puerto Rico,30-Apr-10,10230
316,Eurobank,San Juan,PR,27150,Oriental Bank and Trust,30-Apr-10,10229
317,Wheatland Bank,Naperville,IL,58429,Wheaton Bank & Trust,23-Apr-10,10224
318,Peotone Bank and Trust Company,Peotone,IL,10888,First Midwest Bank,23-Apr-10,10223
319,Lincoln Park Savings Bank,Chicago,IL,30600,Northbrook Bank & Trust Company,23-Apr-10,10221
320,New Century Bank,Chicago,IL,34821,"MB Financial Bank, N.A.",23-Apr-10,10222
321,Citizens Bank and Trust Company of Chicago,Chicago,IL,34658,Republic Bank of Chicago,23-Apr-10,10220
322,Broadway Bank,Chicago,IL,22853,"MB Financial Bank, N.A.",23-Apr-10,10219
323,"Amcore Bank, National Association",Rockford,IL,3735,Harris N.A.,23-Apr-10,10218
324,City Bank,Lynnwood,WA,21521,Whidbey Island Bank,16-Apr-10,10212
325,Tamalpais Bank,San Rafael,CA,33493,"Union Bank, N.A.",16-Apr-10,10217
326,Innovative Bank,Oakland,CA,23876,Center Bank,16-Apr-10,10214
327,Butler Bank,Lowell,MA,26619,People's United Bank,16-Apr-10,10211
328,Riverside National Bank of Florida,Fort Pierce,FL,24067,"TD Bank, N.A.",16-Apr-10,10216
329,AmericanFirst Bank,Clermont,FL,57724,"TD Bank, N.A.",16-Apr-10,10210
330,First Federal Bank of North Florida,Palatka,FL,28886,"TD Bank, N.A.",16-Apr-10,10213
331,Lakeside Community Bank,Sterling Heights,MI,34878,No Acquirer,16-Apr-10,10215
332,Beach First National Bank,Myrtle Beach,SC,34242,Bank of North Carolina,9-Apr-10,10209
333,Desert Hills Bank,Phoenix,AZ,57060,New York Community Bank,26-Mar-10,10205
334,Unity National Bank,Cartersville,GA,34678,Bank of the Ozarks,26-Mar-10,10208
335,Key West Bank,Key West,FL,34684,Centennial Bank,26-Mar-10,10206
